Recency,Frequency,MonetaryValue,Cluster,Segment
53,4,1344.78,2,Potential Loyalists
10,8,1212.05,2,Potential Loyalists
17,2,742.1899999999999,2,Potential Loyalists
682,1,56.73,0,At-Risk
423,1,132.8,0,At-Risk
188,5,3670.74,2,Potential Loyalists
523,2,3070.54,0,At-Risk
690,1,211.95,0,At-Risk
2,79,39963.79,1,Champions
32,19,17880.59,1,Champions
29,5,3938.5499999999997,2,Potential Loyalists
17,31,12424.45,1,Champions
54,2,1149.64,2,Potential Loyalists
16,23,14115.41,1,Champions
23,9,20276.37,1,Champions
4,1,680.99,2,Potential Loyalists
11,1,527.2,2,Potential Loyalists
28,7,5464.85,1,Champions
23,15,12361.39,1,Champions
576,29,23691.4,1,Champions
17,19,5120.58,1,Champions
33,12,6370.15,1,Champions
529,1,708.1,0,At-Risk
432,1,1037.28,0,At-Risk
731,1,285.29999999999995,0,At-Risk
10,3,1298.66,2,Potential Loyalists
336,1,334.93,0,At-Risk
5,21,9823.64,1,Champions
39,1,460.40000000000003,0,At-Risk
63,3,715.21,2,Potential Loyalists
166,2,433.74,0,At-Risk
16,9,1872.8700000000001,1,Champions
641,1,357.4,0,At-Risk
620,2,54.09,0,At-Risk
82,3,6248.5,2,Potential Loyalists
21,3,403.70000000000005,2,Potential Loyalists
560,1,393.72,0,At-Risk
23,19,5955.21,1,Champions
337,1,2169.39,0,At-Risk
96,5,3723.87,2,Potential Loyalists
584,1,1126.0,0,At-Risk
18,4,779.05,2,Potential Loyalists
409,1,955.2,0,At-Risk
233,1,73.5,0,At-Risk
134,4,1844.06,2,Potential Loyalists
26,2,398.27,2,Potential Loyalists
284,1,176.5,0,At-Risk
143,9,5178.02,2,Potential Loyalists
429,1,3084.02,0,At-Risk
66,2,138.03,0,At-Risk
113,1,612.29,0,At-Risk
267,2,1597.76,0,At-Risk
353,1,383.7,0,At-Risk
78,4,2648.62,2,Potential Loyalists
28,5,2502.84,2,Potential Loyalists
1,5,2056.89,1,Champions
64,2,726.54,2,Potential Loyalists
79,5,2634.26,2,Potential Loyalists
143,1,599.68,0,At-Risk
39,2,192.72,0,At-Risk
19,23,4372.15,1,Champions
9,17,11126.11,1,Champions
498,3,973.73,0,At-Risk
1,3,1316.66,2,Potential Loyalists
82,5,735.51,2,Potential Loyalists
9,6,1933.48,2,Potential Loyalists
528,1,316.48,0,At-Risk
60,9,3759.26,1,Champions
15,2,1933.2,2,Potential Loyalists
30,1,349.83000000000004,0,At-Risk
628,2,1367.89,0,At-Risk
131,1,1089.18,0,At-Risk
92,2,716.35,2,Potential Loyalists
43,3,12601.830000000002,2,Potential Loyalists
409,1,732.94,0,At-Risk
29,2,640.45,2,Potential Loyalists
22,7,11214.75,1,Champions
20,33,22254.49,1,Champions
30,3,981.18,2,Potential Loyalists
484,2,481.88,0,At-Risk
448,1,980.25,0,At-Risk
36,1,372.7,0,At-Risk
75,2,1000.39,2,Potential Loyalists
47,2,1161.5,2,Potential Loyalists
198,3,383.58,0,At-Risk
166,1,95.19999999999999,0,At-Risk
576,6,1575.68,2,Potential Loyalists
79,1,964.83,2,Potential Loyalists
358,1,168.0,0,At-Risk
39,2,437.82,2,Potential Loyalists
8,12,4608.75,1,Champions
449,1,468.5,0,At-Risk
682,1,129.23,0,At-Risk
50,2,603.71,2,Potential Loyalists
16,8,18716.14,1,Champions
8,1,269.96,2,Potential Loyalists
311,2,561.71,0,At-Risk
5,3,2134.01,2,Potential Loyalists
303,1,238.85,0,At-Risk
8,9,4966.92,1,Champions
409,1,249.24,0,At-Risk
261,1,456.9,0,At-Risk
289,1,145.92,0,At-Risk
86,1,351.65,0,At-Risk
23,15,13709.86,1,Champions
645,1,70.0,0,At-Risk
2,32,4124.69,1,Champions
682,1,77.52,0,At-Risk
40,2,519.61,2,Potential Loyalists
9,2,1020.42,2,Potential Loyalists
227,5,717.41,2,Potential Loyalists
316,1,218.45,0,At-Risk
457,2,622.8199999999999,0,At-Risk
36,8,2142.72,2,Potential Loyalists
35,8,1653.75,2,Potential Loyalists
21,4,4642.45,2,Potential Loyalists
78,1,440.42,0,At-Risk
247,2,1052.9,0,At-Risk
40,1,197.71,0,At-Risk
239,4,1980.4,2,Potential Loyalists
3,27,14447.44,1,Champions
4,9,2338.15,1,Champions
234,2,2040.1,2,Potential Loyalists
17,4,2062.67,2,Potential Loyalists
8,1,144.0,2,Potential Loyalists
39,4,958.78,2,Potential Loyalists
29,8,4695.66,1,Champions
211,2,9864.26,2,Potential Loyalists
317,3,1352.15,2,Potential Loyalists
92,5,2582.66,2,Potential Loyalists
109,3,418.09999999999997,0,At-Risk
38,15,5090.110000000001,1,Champions
505,1,299.02,0,At-Risk
51,2,618.27,2,Potential Loyalists
19,4,3811.22,2,Potential Loyalists
10,11,4534.09,1,Champions
29,13,2296.72,1,Champions
29,21,5043.92,1,Champions
190,6,681.26,2,Potential Loyalists
59,1,153.12,0,At-Risk
22,1,739.1999999999999,2,Potential Loyalists
79,2,254.18,0,At-Risk
376,4,1232.95,2,Potential Loyalists
682,1,21.0,0,At-Risk
60,1,1579.51,2,Potential Loyalists
405,1,415.79,0,At-Risk
78,9,3435.86,2,Potential Loyalists
23,5,2099.54,2,Potential Loyalists
52,1,1193.32,2,Potential Loyalists
74,1,704.0400000000001,0,At-Risk
57,10,6835.07,1,Champions
278,1,315.6,0,At-Risk
2,8,5740.98,1,Champions
95,3,1131.1,2,Potential Loyalists
29,1,355.53,0,At-Risk
22,1,177.31,0,At-Risk
16,10,3781.38,1,Champions
15,3,1339.41,2,Potential Loyalists
2,35,24775.81,1,Champions
232,1,180.1,0,At-Risk
276,7,3747.84,2,Potential Loyalists
106,2,641.13,0,At-Risk
212,4,5164.88,2,Potential Loyalists
23,9,6620.48,1,Champions
11,7,4478.53,1,Champions
4,3,786.46,2,Potential Loyalists
386,2,1558.22,0,At-Risk
10,2,1270.88,2,Potential Loyalists
57,6,3481.57,2,Potential Loyalists
521,2,804.88,0,At-Risk
59,7,5678.16,2,Potential Loyalists
536,2,490.0,0,At-Risk
90,4,2930.41,2,Potential Loyalists
739,1,141.0,0,At-Risk
67,12,8340.31,1,Champions
33,2,921.49,2,Potential Loyalists
239,3,1312.37,2,Potential Loyalists
24,3,1174.58,2,Potential Loyalists
115,1,185.9,0,At-Risk
25,3,1013.26,2,Potential Loyalists
128,12,8350.42,1,Champions
130,4,1918.49,2,Potential Loyalists
34,8,3539.3,1,Champions
5,2,1346.97,2,Potential Loyalists
22,36,17924.35,1,Champions
155,4,1112.0,2,Potential Loyalists
107,8,2294.65,2,Potential Loyalists
3,1,314.44,2,Potential Loyalists
335,4,377.75,0,At-Risk
331,2,1017.03,0,At-Risk
149,3,4160.83,2,Potential Loyalists
11,5,601.98,2,Potential Loyalists
424,1,261.35,0,At-Risk
17,8,6407.83,1,Champions
11,4,1643.18,2,Potential Loyalists
19,1,686.05,2,Potential Loyalists
30,1,91.68,0,At-Risk
11,1,245.1,2,Potential Loyalists
436,1,162.0,0,At-Risk
1,20,6988.02,1,Champions
625,2,239.4,0,At-Risk
8,11,6070.04,1,Champions
325,3,313.6,0,At-Risk
394,1,1248.42,0,At-Risk
58,1,620.13,0,At-Risk
12,10,11444.68,1,Champions
151,3,2744.0299999999997,2,Potential Loyalists
10,7,3760.29,1,Champions
606,1,2622.481,0,At-Risk
330,2,437.05,0,At-Risk
5,3,1230.02,2,Potential Loyalists
39,4,1970.6,2,Potential Loyalists
554,2,958.5,0,At-Risk
25,11,2843.09,1,Champions
555,2,395.1,0,At-Risk
42,21,34281.18,1,Champions
59,4,1113.02,2,Potential Loyalists
1,4,880.81,2,Potential Loyalists
15,45,30868.28,1,Champions
4,52,24033.91,1,Champions
4,21,12696.78,1,Champions
8,7,2283.63,1,Champions
28,6,2863.08,2,Potential Loyalists
372,1,178.28,0,At-Risk
481,2,2138.91,0,At-Risk
114,1,4873.8099999999995,2,Potential Loyalists
26,2,1247.61,2,Potential Loyalists
206,1,389.01,0,At-Risk
28,7,1170.4,2,Potential Loyalists
637,1,110.95,0,At-Risk
127,7,1703.02,2,Potential Loyalists
70,3,1843.35,2,Potential Loyalists
7,7,1407.1200000000001,2,Potential Loyalists
435,2,851.91,0,At-Risk
29,3,957.59,2,Potential Loyalists
590,1,339.75,0,At-Risk
418,1,638.11,0,At-Risk
8,4,4939.99,2,Potential Loyalists
80,6,2446.41,2,Potential Loyalists
20,1,219.0,0,At-Risk
71,4,1006.53,2,Potential Loyalists
7,8,2340.84,1,Champions
15,14,11762.1,1,Champions
292,1,603.42,0,At-Risk
30,18,5314.1,1,Champions
15,34,31093.34,1,Champions
97,3,1149.02,2,Potential Loyalists
612,2,1339.05,0,At-Risk
29,21,7193.66,1,Champions
1,1,848.55,2,Potential Loyalists
9,12,14093.71,1,Champions
106,1,353.86,0,At-Risk
4,2,1053.49,2,Potential Loyalists
151,3,1308.91,2,Potential Loyalists
71,1,238.25,0,At-Risk
5,2,644.95,2,Potential Loyalists
3,30,8260.67,1,Champions
32,8,4013.08,1,Champions
85,4,997.63,2,Potential Loyalists
4,5,725.07,2,Potential Loyalists
5,7,2317.52,1,Champions
371,4,2694.56,2,Potential Loyalists
28,11,4014.6,1,Champions
11,10,5679.53,1,Champions
71,5,1070.17,2,Potential Loyalists
114,1,453.01,0,At-Risk
522,1,829.25,0,At-Risk
24,17,25775.71,1,Champions
180,1,236.26000000000002,0,At-Risk
234,4,2424.87,2,Potential Loyalists
353,3,639.65,0,At-Risk
315,2,779.5699999999999,0,At-Risk
333,1,234.0,0,At-Risk
499,2,3710.5,2,Potential Loyalists
372,1,310.7,0,At-Risk
78,4,2726.73,2,Potential Loyalists
64,1,427.6,0,At-Risk
529,2,406.07,0,At-Risk
626,1,1201.52,0,At-Risk
134,2,546.43,0,At-Risk
52,11,25317.06,1,Champions
487,3,925.41,0,At-Risk
541,1,254.55,0,At-Risk
2,26,9276.539999999999,1,Champions
1,336,56599.39,1,Champions
4,9,6897.36,1,Champions
129,1,275.88,0,At-Risk
445,1,268.27,0,At-Risk
81,1,4366.78,2,Potential Loyalists
23,6,21429.39,1,Champions
236,3,3010.74,2,Potential Loyalists
281,11,9030.66,1,Champions
87,1,112.07999999999998,0,At-Risk
16,13,7857.1,1,Champions
117,7,9903.24,1,Champions
52,8,5020.74,1,Champions
456,1,347.8,0,At-Risk
458,2,782.95,0,At-Risk
8,2,1898.52,2,Potential Loyalists
138,2,814.16,0,At-Risk
317,1,1693.88,0,At-Risk
472,6,1404.58,2,Potential Loyalists
4,9,10068.28,1,Champions
376,1,949.82,0,At-Risk
451,1,168.69000000000003,0,At-Risk
239,1,1143.6,0,At-Risk
211,2,3246.45,2,Potential Loyalists
486,1,282.3,0,At-Risk
60,1,892.47,2,Potential Loyalists
564,1,124.25,0,At-Risk
536,1,98.7,0,At-Risk
17,7,1686.12,2,Potential Loyalists
668,1,55.5,0,At-Risk
458,1,519.45,0,At-Risk
20,9,1775.68,2,Potential Loyalists
38,14,6722.2699999999995,1,Champions
599,1,337.4,0,At-Risk
64,2,826.74,2,Potential Loyalists
5,11,4618.24,1,Champions
2,6,2225.91,1,Champions
9,3,1804.75,2,Potential Loyalists
364,3,1100.4,0,At-Risk
610,1,728.5,0,At-Risk
10,4,862.18,2,Potential Loyalists
463,4,444.9,0,At-Risk
65,3,273.35,0,At-Risk
192,2,591.85,0,At-Risk
374,6,1056.1100000000001,2,Potential Loyalists
257,2,827.01,0,At-Risk
335,3,1017.33,0,At-Risk
53,2,860.41,2,Potential Loyalists
19,1,430.48,2,Potential Loyalists
628,1,381.0,0,At-Risk
366,2,806.11,0,At-Risk
10,4,8510.93,1,Champions
529,1,219.35,0,At-Risk
470,3,584.25,0,At-Risk
501,1,1071.82,0,At-Risk
187,7,2416.42,2,Potential Loyalists
393,1,1092.81,0,At-Risk
466,2,327.02,0,At-Risk
382,4,1434.95,2,Potential Loyalists
435,4,2878.96,2,Potential Loyalists
383,1,330.35,0,At-Risk
37,5,906.1,2,Potential Loyalists
178,3,1755.94,2,Potential Loyalists
535,2,534.99,0,At-Risk
261,5,1033.9,2,Potential Loyalists
45,1,229.64000000000001,0,At-Risk
502,3,1687.8,0,At-Risk
102,1,125.92,0,At-Risk
148,2,1063.46,2,Potential Loyalists
96,2,572.2,0,At-Risk
281,3,690.98,0,At-Risk
262,1,1542.08,0,At-Risk
458,1,540.52,0,At-Risk
3,11,2689.52,1,Champions
214,2,220.8,0,At-Risk
71,2,948.88,2,Potential Loyalists
75,18,6501.5,1,Champions
60,1,397.12,0,At-Risk
521,2,518.63,0,At-Risk
3,12,2955.75,1,Champions
6,3,430.15000000000003,2,Potential Loyalists
3,6,1018.71,2,Potential Loyalists
337,3,385.3,0,At-Risk
38,6,6814.64,1,Champions
262,3,451.11,0,At-Risk
32,2,383.03,2,Potential Loyalists
145,1,417.38,0,At-Risk
283,1,312.38,0,At-Risk
428,41,6043.31,1,Champions
59,15,6585.62,1,Champions
173,2,688.41,0,At-Risk
34,10,3398.48,1,Champions
3,26,10071.73,1,Champions
144,7,4041.97,2,Potential Loyalists
5,40,7540.68,1,Champions
70,4,1917.99,2,Potential Loyalists
66,30,6588.41,1,Champions
29,4,648.6,2,Potential Loyalists
267,4,354.09,0,At-Risk
682,1,15.58,0,At-Risk
22,2,1636.8999999999999,2,Potential Loyalists
676,1,208.0,0,At-Risk
31,6,3090.56,2,Potential Loyalists
446,1,330.0,0,At-Risk
97,2,284.13,0,At-Risk
295,1,311.55,0,At-Risk
135,11,3907.5,1,Champions
79,7,2994.02,2,Potential Loyalists
373,4,650.9399999999999,0,At-Risk
8,6,2179.93,2,Potential Loyalists
211,6,3688.0,2,Potential Loyalists
383,1,177.92,0,At-Risk
459,1,575.1,0,At-Risk
693,1,55.47,0,At-Risk
620,1,68.25,0,At-Risk
426,2,1008.3199999999999,0,At-Risk
52,6,2792.5499999999997,2,Potential Loyalists
138,2,299.57,0,At-Risk
26,4,3323.47,2,Potential Loyalists
283,3,1227.35,2,Potential Loyalists
26,13,7913.29,1,Champions
186,8,2247.06,2,Potential Loyalists
682,1,337.66999999999996,0,At-Risk
375,3,1676.95,2,Potential Loyalists
84,3,744.02,2,Potential Loyalists
327,12,3685.4900000000002,2,Potential Loyalists
282,3,2027.3,2,Potential Loyalists
385,2,948.42,0,At-Risk
143,5,1356.99,2,Potential Loyalists
58,4,4081.79,2,Potential Loyalists
4,20,2955.17,1,Champions
236,2,854.99,0,At-Risk
45,3,573.22,2,Potential Loyalists
382,2,640.13,0,At-Risk
276,1,298.0,0,At-Risk
9,2,1463.04,2,Potential Loyalists
25,4,703.47,2,Potential Loyalists
88,1,309.05,0,At-Risk
63,3,1175.22,2,Potential Loyalists
68,2,1378.4,2,Potential Loyalists
384,1,222.4,0,At-Risk
214,2,354.12,0,At-Risk
381,4,385.46000000000004,0,At-Risk
24,2,717.27,2,Potential Loyalists
186,11,840.5,2,Potential Loyalists
397,1,263.38,0,At-Risk
31,1,188.14,0,At-Risk
575,1,157.35,0,At-Risk
42,2,372.8,2,Potential Loyalists
205,4,514.25,0,At-Risk
464,2,310.96000000000004,0,At-Risk
414,1,366.4,0,At-Risk
422,1,340.33,0,At-Risk
9,28,17654.54,1,Champions
265,1,138.68,0,At-Risk
429,1,833.53,0,At-Risk
18,2,509.58,2,Potential Loyalists
577,2,1018.42,0,At-Risk
12,5,2919.81,2,Potential Loyalists
396,2,508.91,0,At-Risk
176,5,1776.0,2,Potential Loyalists
40,8,3103.19,2,Potential Loyalists
23,13,5796.52,1,Champions
552,1,1680.47,0,At-Risk
3,5,1662.3,2,Potential Loyalists
5,13,6700.860000000001,1,Champions
401,1,223.98,0,At-Risk
149,4,1174.75,2,Potential Loyalists
139,7,4654.0199999999995,2,Potential Loyalists
128,6,4359.2,2,Potential Loyalists
626,1,10953.5,2,Potential Loyalists
8,6,1335.19,2,Potential Loyalists
17,4,488.09000000000003,2,Potential Loyalists
9,74,35921.04,1,Champions
161,1,405.38,0,At-Risk
64,3,789.87,2,Potential Loyalists
88,12,2469.4,2,Potential Loyalists
5,3,729.3299999999999,2,Potential Loyalists
411,4,1548.46,2,Potential Loyalists
395,1,197.31,0,At-Risk
35,12,4304.89,1,Champions
312,1,117.85,0,At-Risk
78,2,415.8,0,At-Risk
22,57,92347.34,1,Champions
539,8,1698.56,2,Potential Loyalists
24,8,1687.03,2,Potential Loyalists
737,1,181.65,0,At-Risk
2,15,4243.86,1,Champions
17,4,1063.9,2,Potential Loyalists
15,9,3097.61,1,Champions
26,1,114.14,0,At-Risk
64,20,25264.8,1,Champions
55,2,913.54,2,Potential Loyalists
724,1,377.49,0,At-Risk
131,3,942.65,2,Potential Loyalists
558,2,496.5,0,At-Risk
36,2,604.51,2,Potential Loyalists
288,2,900.11,0,At-Risk
437,1,324.45,0,At-Risk
144,6,1908.03,2,Potential Loyalists
16,9,2317.43,1,Champions
31,22,15526.7,1,Champions
2,3,1843.0,2,Potential Loyalists
9,15,3213.7200000000003,1,Champions
6,4,1387.79,2,Potential Loyalists
10,2,828.8100000000001,2,Potential Loyalists
639,1,162.45,0,At-Risk
1,11,4757.16,1,Champions
306,4,521.89,0,At-Risk
10,13,8706.97,1,Champions
400,2,539.49,0,At-Risk
484,1,150.95,0,At-Risk
414,4,1322.07,2,Potential Loyalists
379,1,211.99,0,At-Risk
7,2,266.39,2,Potential Loyalists
8,12,3601.59,1,Champions
437,1,132.24,0,At-Risk
89,1,771.91,0,At-Risk
10,1,160.18,2,Potential Loyalists
358,3,4306.92,2,Potential Loyalists
112,1,135.95,0,At-Risk
603,1,122.45,0,At-Risk
7,10,1524.97,1,Champions
4,116,15972.79,1,Champions
414,4,1161.2,2,Potential Loyalists
414,1,385.55,0,At-Risk
198,2,408.95,0,At-Risk
437,6,2100.09,2,Potential Loyalists
212,8,3156.38,2,Potential Loyalists
156,4,517.63,2,Potential Loyalists
385,5,2502.82,2,Potential Loyalists
729,1,517.7,0,At-Risk
158,21,16245.78,1,Champions
30,2,372.21999999999997,2,Potential Loyalists
243,8,2744.81,2,Potential Loyalists
598,1,490.08000000000004,0,At-Risk
19,1,97.5,0,At-Risk
1,2,1239.38,2,Potential Loyalists
429,10,2729.84,2,Potential Loyalists
74,5,1312.21,2,Potential Loyalists
292,1,535.32,0,At-Risk
3,33,13551.75,1,Champions
31,7,955.5,2,Potential Loyalists
23,3,764.82,2,Potential Loyalists
725,1,93.35000000000001,0,At-Risk
23,8,1259.6299999999999,2,Potential Loyalists
4,3,974.4200000000001,2,Potential Loyalists
85,1,211.32,0,At-Risk
376,1,355.5,0,At-Risk
22,8,2110.91,2,Potential Loyalists
493,3,920.08,0,At-Risk
196,3,455.88,0,At-Risk
107,4,1032.5,2,Potential Loyalists
4,33,24172.100000000002,1,Champions
318,3,414.13,0,At-Risk
106,3,149.05,0,At-Risk
12,36,11650.85,1,Champions
174,4,999.68,2,Potential Loyalists
56,1,81.57,0,At-Risk
580,1,175.25,0,At-Risk
323,3,612.13,0,At-Risk
673,1,234.0,0,At-Risk
374,2,330.12,0,At-Risk
372,1,101.10000000000001,0,At-Risk
9,11,2972.83,1,Champions
1,29,12625.77,1,Champions
11,11,5381.08,1,Champions
53,11,6586.42,1,Champions
73,3,789.89,2,Potential Loyalists
7,1,204.0,2,Potential Loyalists
16,35,9763.16,1,Champions
379,6,1229.95,2,Potential Loyalists
563,2,618.96,0,At-Risk
4,17,4887.24,1,Champions
430,1,65.3,0,At-Risk
64,3,1449.03,2,Potential Loyalists
471,2,555.87,0,At-Risk
732,1,323.39,0,At-Risk
1,9,1733.08,1,Champions
114,19,17335.2,1,Champions
23,2,661.3199999999999,2,Potential Loyalists
31,5,1927.3,2,Potential Loyalists
11,2,1227.22,2,Potential Loyalists
407,5,3419.27,2,Potential Loyalists
52,9,2843.55,2,Potential Loyalists
357,2,220.55,0,At-Risk
55,3,922.68,2,Potential Loyalists
74,3,1364.2,2,Potential Loyalists
685,1,307.1,0,At-Risk
138,12,3914.9500000000003,1,Champions
80,3,908.46,2,Potential Loyalists
584,4,1010.73,0,At-Risk
9,2,676.99,2,Potential Loyalists
451,4,799.13,0,At-Risk
598,3,1556.54,0,At-Risk
273,1,516.42,0,At-Risk
291,11,4853.9,2,Potential Loyalists
99,3,808.92,2,Potential Loyalists
31,3,949.25,2,Potential Loyalists
32,24,8795.16,1,Champions
14,9,4084.21,1,Champions
64,4,1408.24,2,Potential Loyalists
15,35,12344.53,1,Champions
579,2,155.8,0,At-Risk
212,7,3168.53,2,Potential Loyalists
622,1,127.65,0,At-Risk
78,4,2321.11,2,Potential Loyalists
551,1,209.48,0,At-Risk
530,3,722.09,0,At-Risk
25,3,271.40000000000003,2,Potential Loyalists
250,10,2303.17,2,Potential Loyalists
254,1,307.53,0,At-Risk
72,1,248.61,0,At-Risk
191,1,346.98,0,At-Risk
481,1,188.4,0,At-Risk
13,6,1680.74,2,Potential Loyalists
373,5,1260.91,2,Potential Loyalists
24,2,470.8,2,Potential Loyalists
82,3,508.51,2,Potential Loyalists
10,2,344.0,2,Potential Loyalists
1,38,9683.13,1,Champions
192,4,751.7,2,Potential Loyalists
612,1,129.22,0,At-Risk
267,1,177.15,0,At-Risk
411,2,418.08,0,At-Risk
511,4,1378.74,0,At-Risk
130,1,919.61,0,At-Risk
458,1,135.4,0,At-Risk
1,11,3064.67,1,Champions
3,57,29532.45,1,Champions
4,6,419.18,2,Potential Loyalists
179,4,280.73,0,At-Risk
12,28,59205.15,1,Champions
126,21,7335.75,1,Champions
4,3,395.43,2,Potential Loyalists
492,1,122.39999999999999,0,At-Risk
158,8,2433.28,2,Potential Loyalists
383,1,439.33000000000004,0,At-Risk
726,1,313.64,0,At-Risk
417,1,236.11,0,At-Risk
3,203,116737.86,1,Champions
9,24,14103.09,1,Champions
28,3,2321.82,2,Potential Loyalists
71,12,2140.28,2,Potential Loyalists
276,55,54943.65,1,Champions
21,13,2433.1200000000003,1,Champions
71,1,74.39999999999999,0,At-Risk
394,1,419.70000000000005,0,At-Risk
33,28,13389.22,1,Champions
1,28,28882.44,1,Champions
99,1,207.35999999999999,0,At-Risk
234,4,695.4,2,Potential Loyalists
1,37,11696.92,1,Champions
40,3,709.64,2,Potential Loyalists
3,9,1709.1,1,Champions
436,1,72.0,0,At-Risk
133,2,603.46,0,At-Risk
44,9,5253.07,1,Champions
373,2,1098.52,0,At-Risk
60,3,1134.03,2,Potential Loyalists
31,12,2957.4700000000003,1,Champions
719,1,321.88000000000005,0,At-Risk
541,1,20.6,0,At-Risk
1,37,18625.73,1,Champions
731,1,234.38,0,At-Risk
12,10,5494.7,1,Champions
138,1,501.14,0,At-Risk
22,18,2643.81,1,Champions
20,9,2415.41,1,Champions
669,1,134.9,0,At-Risk
239,1,30.599999999999998,0,At-Risk
269,1,283.73,0,At-Risk
94,2,922.39,2,Potential Loyalists
473,2,506.75,0,At-Risk
90,4,4782.45,2,Potential Loyalists
524,1,158.57,0,At-Risk
5,13,3998.25,1,Champions
78,1,259.17,0,At-Risk
631,1,263.5,0,At-Risk
452,2,233.25,0,At-Risk
94,1,64.0,0,At-Risk
23,7,3313.77,2,Potential Loyalists
262,1,77.3,0,At-Risk
274,3,200.45000000000002,0,At-Risk
86,6,2475.23,2,Potential Loyalists
197,2,3371.45,2,Potential Loyalists
56,13,6274.56,1,Champions
11,16,7712.7,1,Champions
22,7,1467.24,2,Potential Loyalists
16,8,8202.98,1,Champions
108,5,1215.68,2,Potential Loyalists
85,17,7668.58,1,Champions
19,1,307.09,2,Potential Loyalists
585,1,405.1,0,At-Risk
333,2,135.35,0,At-Risk
